id,name,grade,subject,marks
11244,Sneha Trivedi,9,Math,82
11245,Amit Bhat,12,Science,65
11246,Gaurav Shah,10,History,50
11247,Pooja Sharma,11,Geography,86
11248,Aditi Nair,12,English,51
11249,Aryan Reddy,10,Computer Science,73
11250,Kabir Trivedi,11,Computer Science,83
11251,Gaurav Kaur,10,History,43
11252,Yash Pillai,12,English,38
11253,Vivek Krishnan,9,English,93
11254,Sneha Iyer,12,Geography,68
11255,Aditya Joshi,9,Math,54
11256,Amit Thakur,11,Geography,67
11257,Ishita Joshi,11,Science,91
11258,Pallavi Thakur,10,History,84
11259,Yuvraj Shah,11,English,85
11260,Dhruv Mehta,9,Geography,44
11261,Aarohi Iyer,10,Computer Science,97
11262,Simran Sharma,10,English,92
11263,Dhruv Verma,12,History,72
11264,Manav Agarwal,10,History,65
11265,Siddharth Sharma,9,Computer Science,48
11266,Pooja Malhotra,12,English,71
11267,Vikram Thakur,10,English,70
11268,Divya Gupta,12,Geography,93
11269,Rahul Choudhary,12,Geography,42
11270,Neha Saxena,12,Computer Science,42
11271,Aditya Sharma,11,English,61
11272,Rahul Rao,9,History,60
11273,Priya Bose,11,Math,54
11274,Neha Nair,11,Geography,57
11275,Priya Sharma,10,Geography,80
11276,Sanya Pillai,10,English,41
11277,Manav Patel,11,Computer Science,55
11278,Pooja Kaur,9,History,95
11279,Riya Sharma,11,History,76
11280,Rohan Kumar,12,English,54
11281,Yash Desai,12,English,54
11282,Sara Choudhary,10,Science,38
11283,Devansh Kulkarni,9,English,44
11284,Aditi Malhotra,11,Geography,86
11285,Meera Pillai,10,History,78
11286,Ishita Agarwal,9,Computer Science,48
11287,Yash Chauhan,12,History,41
11288,Sameer Malhotra,12,Science,91
11289,Ishita Patel,9,Math,65
11290,Ishita Mehta,11,History,59
11291,Devansh Shah,11,Computer Science,35
11292,Yuvraj Choudhary,11,Math,85
11293,Shreya Reddy,9,Computer Science,77
11294,Anjali Chauhan,11,English,79
11295,Ananya Desai,12,English,68
11296,Sneha Mehta,9,Math,56
11297,Meera Bhat,12,History,86
11298,Meera Verma,9,History,53
11299,Siddharth Nair,9,English,50
11300,Dhruv Gupta,9,Geography,83
11301,Neha Menon,10,Geography,87
11302,Rahul Gupta,12,English,64
11303,Arjun Joshi,10,English,57
11304,Devansh Shah,12,Math,71
11305,Aryan Iyer,9,History,93
11306,Ishita Nair,10,Geography,94
11307,Tanya Nambiar,11,Geography,59
11308,Nikhil Kapoor,11,Science,85
11309,Meera Iyer,12,History,95
11310,Vivek Pillai,10,Geography,42
11311,Vikram Mehta,9,Science,39
11312,Divya Nair,10,Science,63
11313,Manav Kumar,10,Science,61
11314,Dhruv Kapoor,11,Math,69
11315,Riya Trivedi,9,History,65
11316,Devansh Joshi,11,Geography,86
11317,Rajesh Joshi,12,Math,70
11318,Vikram Kumar,10,History,48
11319,Nikhil Choudhary,11,English,74
11320,Ananya Pillai,10,Science,95
11321,Karan Kulkarni,9,English,83
11322,Sneha Choudhary,12,Geography,39
11323,Aditya Kapoor,12,Math,41
11324,Rohan Nambiar,12,Computer Science,81
11325,Tanya Verma,9,Geography,40
11326,Tanya Desai,12,History,39
11327,Ishita Nambiar,12,History,39
11328,Kabir Rao,10,English,87
11329,Ishita Singh,12,Science,70
11330,Nikhil Krishnan,11,English,85
11331,Aditi Verma,11,Math,45
11332,Gaurav Menon,9,History,75
11333,Nikhil Choudhary,10,Science,58
11334,Nikhil Kapoor,9,Math,44
11335,Amit Chauhan,11,Math,58
11336,Divya Nambiar,10,Computer Science,93
11337,Devansh Trivedi,9,History,72
11338,Ananya Bose,10,Science,53
11339,Divya Singh,11,Math,91
11340,Kabir Trivedi,12,History,46
11341,Amit Reddy,11,Computer Science,97
11342,Ishita Nair,11,English,65
11343,Yuvraj Malhotra,9,History,62
11344,Siddharth Krishnan,11,Math,100
11345,Kavya Choudhary,10,History,100
11346,Aryan Reddy,9,English,58
11347,Sanya Malhotra,12,History,38
11348,Anjali Rao,12,Geography,82
11349,Aarohi Gupta,10,Math,38
11350,Karan Nair,10,History,81
11351,Aditi Nambiar,10,Computer Science,87
11352,Rahul Joshi,12,Math,54
11353,Rajesh Shah,10,Science,92
11354,Arjun Joshi,10,Computer Science,49
11355,Aryan Trivedi,12,English,92
11356,Devansh Kapoor,10,Geography,57
11357,Rohan Krishnan,12,Computer Science,99
11358,Sameer Joshi,11,English,55
11359,Amit Thakur,12,Computer Science,51
11360,Sameer Singh,10,History,100
11361,Aryan Kulkarni,11,Math,95
11362,Devansh Trivedi,9,Geography,79
11363,Sameer Chauhan,9,Computer Science,88
11364,Sneha Krishnan,9,Geography,99
11365,Rahul Nambiar,9,English,37
11366,Sameer Desai,10,History,57
11367,Simran Kulkarni,11,English,77
11368,Ananya Nair,12,English,68
11369,Ananya Reddy,12,Science,52
11370,Neha Nair,10,Science,48
11371,Pooja Patel,10,Science,75
11372,Karan Bose,9,History,59
11373,Devansh Menon,12,English,81
11374,Priya Iyer,12,English,43
11375,Yuvraj Rao,12,Science,72
11376,Gaurav Trivedi,11,Math,63
11377,Kavya Menon,12,History,35
11378,Kabir Thakur,12,English,54
11379,Shreya Reddy,12,Computer Science,74
11380,Neha Iyer,9,Geography,45
11381,Aryan Kumar,10,Computer Science,35
11382,Dhruv Kulkarni,10,Computer Science,50
11383,Gaurav Agarwal,9,Geography,68
11384,Nikhil Gupta,11,Math,87
11385,Aryan Malhotra,11,Math,83
11386,Dhruv Saxena,12,Computer Science,81
11387,Divya Nambiar,9,Geography,83
11388,Aarohi Menon,12,History,42
11389,Devansh Kulkarni,10,History,70
11390,Aditya Menon,11,Computer Science,48
11391,Riya Singh,12,Computer Science,35
11392,Yash Desai,11,Science,72
11393,Pallavi Mehta,12,Science,90
11394,Kavya Mehta,12,History,95
11395,Yash Agarwal,11,Science,58
11396,Rohan Mehta,10,Computer Science,73
11397,Ananya Sharma,9,Computer Science,96
11398,Kavya Chauhan,9,Computer Science,38
11399,Nisha Joshi,12,Science,48
11400,Dhruv Gupta,9,Math,57
11401,Gaurav Kumar,11,Geography,65
11402,Rajesh Gupta,9,Geography,61
11403,Siddharth Nair,12,Math,38
11404,Aditya Gupta,10,Computer Science,76
11405,Arjun Desai,11,Computer Science,89
11406,Kavya Krishnan,11,Science,43
11407,Simran Iyer,9,History,64
11408,Kavya Bose,11,English,92
11409,Arjun Agarwal,11,English,62
11410,Siddharth Kumar,10,English,73
11411,Priya Kapoor,12,Geography,53
11412,Rohan Shah,12,Geography,52
11413,Shreya Sharma,11,English,40
11414,Devansh Kumar,11,English,93
11415,Vikram Krishnan,12,Geography,47
11416,Shreya Krishnan,9,History,57
11417,Manav Verma,10,Math,73
11418,Pooja Singh,12,English,47
11419,Kavya Desai,12,Math,63
11420,Aarohi Pillai,11,History,45
11421,Yuvraj Mehta,12,Math,75
11422,Yash Singh,10,History,37
11423,Neha Bose,10,History,95
11424,Arjun Kulkarni,12,Computer Science,68
11425,Neha Rao,12,Geography,82
11426,Siddharth Trivedi,9,Science,48
11427,Dhruv Trivedi,11,Math,84
11428,Sameer Bose,12,Science,89
11429,Simran Kulkarni,9,English,46
11430,Rajesh Malhotra,10,Geography,60
11431,Sneha Nambiar,9,Computer Science,83
11432,Simran Bhat,12,English,84
11433,Tanya Kapoor,11,Math,49
11434,Pallavi Thakur,10,Computer Science,81
11435,Divya Singh,9,History,77
11436,Pooja Trivedi,9,English,85
11437,Priya Malhotra,9,English,64
11438,Anjali Kaur,11,Math,64
11439,Pallavi Kaur,12,Science,83
11440,Neha Gupta,11,English,91
11441,Aarohi Thakur,9,Geography,72
11442,Arjun Joshi,10,English,42
11443,Sameer Patel,12,Science,87
11444,Karan Desai,11,Computer Science,76
11445,Ishita Chauhan,10,Science,49
11446,Aryan Kulkarni,12,History,100
11447,Aryan Saxena,11,Science,80
11448,Anjali Agarwal,11,Geography,48
11449,Pallavi Pillai,12,History,66
11450,Sara Patel,12,Computer Science,53
11451,Rohan Gupta,11,Science,97
11452,Aarohi Desai,12,History,57
11453,Sara Kapoor,9,Math,94
11454,Vikram Trivedi,12,English,62
11455,Kabir Nambiar,11,English,59
11456,Pallavi Joshi,11,Math,89
11457,Shreya Chauhan,11,Geography,51
11458,Pallavi Joshi,12,Science,42
11459,Pallavi Menon,12,Computer Science,54
11460,Vivek Gupta,11,Computer Science,70
11461,Vikram Pillai,10,Computer Science,73
11462,Nisha Iyer,11,Geography,50
11463,Tanya Nair,9,English,67
11464,Aditya Choudhary,9,Geography,86
11465,Dhruv Thakur,12,Science,74
11466,Rohan Bhat,11,History,68
11467,Meera Verma,9,English,55
11468,Amit Sharma,12,Math,60
11469,Manav Joshi,12,History,83
11470,Nisha Shah,12,Computer Science,91
11471,Shreya Trivedi,12,English,44
11472,Aditi Menon,9,History,80
11473,Priya Nambiar,11,Math,97
11474,Ishita Thakur,10,English,87
11475,Priya Patel,9,English,50
11476,Sneha Kapoor,9,Geography,54
11477,Shreya Kulkarni,10,Math,53
11478,Pooja Iyer,10,Geography,38
11479,Aditi Nair,11,Math,43
11480,Arjun Verma,12,English,92
11481,Devansh Nambiar,9,Computer Science,79
11482,Manav Gupta,10,Science,96
11483,Sara Desai,9,English,98
11484,Divya Kapoor,11,English,83
11485,Anjali Verma,11,Science,83
11486,Nisha Desai,10,Science,74
11487,Aarohi Gupta,9,Geography,40
11488,Aryan Agarwal,11,Geography,60
11489,Karan Bhat,10,English,46
11490,Aryan Shah,9,History,41
11491,Nikhil Krishnan,11,Computer Science,68
11492,Gaurav Shah,10,English,66
11493,Riya Kumar,9,History,96
11494,Kavya Desai,11,Computer Science,64
11495,Meera Bose,12,Math,54
11496,Priya Sharma,10,Math,84
11497,Rahul Saxena,12,Computer Science,59
11498,Shreya Nair,10,Math,83
11499,Dhruv Sharma,9,Computer Science,45
11500,Rahul Bhat,9,Science,65
11501,Anjali Bhat,10,History,96
11502,Aditi Bose,10,Computer Science,80
11503,Simran Nambiar,11,Science,80
11504,Yuvraj Verma,11,Computer Science,43
11505,Sneha Nambiar,10,English,72
11506,Simran Agarwal,10,Geography,85
11507,Siddharth Menon,12,Science,74
11508,Rahul Krishnan,10,Science,99
11509,Tanya Nambiar,10,Math,63
11510,Sneha Kapoor,11,Geography,44
11511,Tanya Gupta,9,Geography,40
11512,Pallavi Sharma,9,Computer Science,59
11513,Sameer Krishnan,11,History,52
11514,Vivek Saxena,12,Geography,65
11515,Sameer Gupta,10,Geography,46
11516,Rahul Reddy,12,Science,63
11517,Aryan Kumar,10,History,84
11518,Pooja Thakur,10,English,41
11519,Devansh Agarwal,11,Geography,84
11520,Nikhil Chauhan,10,Science,81
11521,Rajesh Patel,11,Computer Science,58
11522,Rahul Iyer,9,Computer Science,49
11523,Manav Krishnan,11,English,74
11524,Rajesh Kaur,11,History,53
11525,Aditi Pillai,11,Math,81
11526,Priya Trivedi,12,Math,59
11527,Ananya Nair,9,Computer Science,92
11528,Dhruv Gupta,9,Science,79
11529,Tanya Choudhary,10,Geography,44
11530,Rahul Desai,10,Math,70
11531,Priya Choudhary,9,Science,97
11532,Ananya Chauhan,9,Math,54
11533,Pallavi Pillai,10,Geography,78
11534,Simran Gupta,11,Math,54
11535,Yuvraj Desai,12,Math,42
11536,Amit Bose,12,Computer Science,62
11537,Aryan Agarwal,9,Science,55
11538,Divya Mehta,12,History,89
11539,Yuvraj Thakur,10,Math,56
11540,Amit Verma,12,Science,47
11541,Aryan Desai,11,English,79
11542,Rajesh Nair,11,History,79
11543,Nikhil Nair,9,Geography,56
11544,Pallavi Kumar,11,Geography,39
11545,Gaurav Saxena,11,English,44
11546,Aditya Kapoor,11,Science,91
11547,Yuvraj Kaur,10,History,57
11548,Divya Malhotra,11,Geography,80
11549,Anjali Malhotra,11,History,90
11550,Aarohi Menon,11,Computer Science,76
11551,Amit Kapoor,9,English,50
11552,Rajesh Malhotra,11,Math,85
11553,Dhruv Nambiar,12,English,78
11554,Sneha Mehta,11,Geography,35
11555,Pooja Nambiar,10,English,87
11556,Sara Pillai,9,English,56
11557,Yuvraj Joshi,12,Geography,98
11558,Sameer Patel,9,Computer Science,41
11559,Aditya Agarwal,12,History,35
11560,Sanya Singh,10,Geography,82
11561,Meera Agarwal,11,Math,88
11562,Rohan Bose,12,English,35
11563,Ishita Rao,10,Science,77
11564,Devansh Mehta,10,Science,36
11565,Devansh Menon,11,English,83
11566,Ananya Saxena,12,History,66
11567,Pooja Choudhary,9,English,100
11568,Dhruv Joshi,12,Computer Science,46
11569,Pooja Krishnan,9,Science,77
11570,Yash Patel,10,Computer Science,75
11571,Nisha Saxena,10,English,99
11572,Riya Menon,9,History,79
11573,Nisha Patel,11,Science,52
11574,Rajesh Agarwal,12,Computer Science,76
11575,Arjun Kulkarni,9,Geography,40
11576,Sneha Bhat,9,History,73
11577,Shreya Pillai,10,Math,50
11578,Arjun Verma,12,Science,61
11579,Yuvraj Kaur,9,Geography,47
11580,Karan Gupta,9,English,76
11581,Pallavi Bose,12,Computer Science,48
11582,Sameer Sharma,12,Computer Science,69
11583,Karan Rao,11,Geography,97
11584,Manav Bose,10,English,72
11585,Divya Nambiar,11,Science,46
11586,Rahul Agarwal,11,Science,37
11587,Sara Saxena,11,Math,100
11588,Devansh Bhat,12,English,69
11589,Shreya Shah,12,Geography,91
11590,Devansh Gupta,11,Math,82
11591,Aditya Mehta,11,Math,41
11592,Shreya Desai,12,English,92
11593,Dhruv Rao,12,Geography,83
11594,Rahul Kaur,12,Math,89
11595,Gaurav Joshi,9,Science,81
11596,Priya Nair,11,Geography,61
11597,Sanya Kaur,11,English,81
11598,Anjali Nair,12,History,42
11599,Aarohi Menon,10,Science,88
11600,Pallavi Thakur,9,English,84
11601,Shreya Krishnan,11,Geography,38
11602,Yuvraj Saxena,9,Geography,57
11603,Amit Malhotra,9,Math,36
11604,Ishita Agarwal,10,English,44
11605,Ananya Rao,11,English,84
11606,Gaurav Mehta,11,History,61
11607,Tanya Nambiar,11,Science,79
11608,Yuvraj Desai,10,History,80
11609,Shreya Kaur,11,Geography,45
11610,Siddharth Choudhary,12,Computer Science,98
11611,Aditi Mehta,9,Computer Science,46
11612,Vikram Choudhary,10,Science,95
11613,Sameer Gupta,10,Science,60
11614,Priya Joshi,10,Science,70
11615,Arjun Sharma,12,Math,94
11616,Priya Kulkarni,12,Geography,97
11617,Pallavi Malhotra,10,Science,100
11618,Amit Bose,9,Geography,43
11619,Kavya Krishnan,10,Science,41
11620,Sara Kulkarni,10,Math,74
11621,Riya Chauhan,11,Computer Science,65
11622,Pooja Mehta,12,Geography,47
11623,Aarohi Saxena,11,Geography,80
11624,Neha Mehta,9,English,53
11625,Kabir Nambiar,9,Math,58
11626,Sara Verma,10,Science,70
11627,Priya Kapoor,9,Computer Science,50
11628,Anjali Trivedi,10,Computer Science,47
11629,Siddharth Kapoor,12,Computer Science,70
11630,Aryan Joshi,9,Science,42
11631,Kabir Choudhary,12,Geography,56
11632,Kabir Agarwal,9,History,63
11633,Nisha Singh,11,Geography,49
11634,Nisha Malhotra,10,Science,41
11635,Arjun Sharma,11,Science,97
11636,Sameer Malhotra,11,English,86
11637,Devansh Iyer,9,History,92
11638,Aditi Sharma,9,History,56
11639,Meera Chauhan,10,Math,51
11640,Yash Rao,12,Computer Science,83
11641,Yuvraj Verma,11,Computer Science,62
11642,Sanya Kulkarni,10,Math,66
11643,Kabir Shah,9,Math,65
11644,Yash Joshi,12,Geography,76
11645,Rahul Menon,10,Geography,45
11646,Vivek Verma,11,English,69
11647,Gaurav Joshi,12,Science,80
11648,Riya Pillai,10,Computer Science,42
11649,Riya Kapoor,11,English,51
11650,Priya Pillai,11,History,64
11651,Shreya Joshi,9,English,84
11652,Pooja Mehta,11,English,68
11653,Aditya Malhotra,11,History,74
11654,Vivek Iyer,11,Computer Science,75
11655,Ishita Gupta,10,Computer Science,100
11656,Sara Bhat,12,English,83
11657,Pooja Kaur,9,Geography,64
11658,Rahul Joshi,10,Math,95
11659,Rajesh Verma,10,Math,65
11660,Pallavi Mehta,10,History,98
11661,Kabir Joshi,10,Geography,62
11662,Amit Kapoor,12,Science,91
11663,Vikram Patel,11,Science,55
11664,Tanya Mehta,10,English,35
11665,Aryan Kaur,10,English,47
11666,Devansh Verma,12,Science,58
11667,Nisha Kaur,12,Science,40
11668,Simran Verma,9,Geography,96
11669,Divya Desai,12,Math,41
11670,Yuvraj Singh,10,Science,97
11671,Dhruv Desai,10,English,55
11672,Priya Rao,11,Geography,59
11673,Dhruv Patel,11,Computer Science,57
11674,Aarohi Singh,10,Math,70
11675,Manav Saxena,9,Computer Science,42
11676,Rajesh Chauhan,11,Geography,46
11677,Vivek Mehta,9,Geography,69
11678,Devansh Bhat,9,History,65
11679,Riya Kulkarni,9,History,67
11680,Kavya Desai,11,English,59
11681,Aditya Desai,10,English,93
11682,Priya Bose,12,Science,36
11683,Yash Shah,10,Science,72
11684,Rohan Joshi,10,Computer Science,39
11685,Rahul Nambiar,9,Computer Science,93
11686,Nisha Mehta,12,Science,63
11687,Ananya Verma,10,Math,98
11688,Ishita Verma,11,History,99
11689,Siddharth Thakur,9,History,50
11690,Ananya Iyer,10,English,98
11691,Sameer Trivedi,12,Geography,44
11692,Karan Kulkarni,11,Math,99
11693,Devansh Kapoor,10,English,72
11694,Sameer Patel,10,Math,91
11695,Sanya Menon,9,English,53
11696,Anjali Desai,9,Math,94
11697,Amit Chauhan,11,Math,89
11698,Nikhil Patel,9,Math,41
11699,Karan Patel,11,English,37
11700,Rohan Pillai,12,History,42
11701,Vikram Krishnan,10,Science,47
11702,Sanya Kulkarni,11,History,82
11703,Arjun Rao,9,Math,62
11704,Sanya Kaur,12,Geography,79
11705,Neha Kaur,11,Science,95
11706,Siddharth Bhat,11,History,46
11707,Anjali Joshi,11,Geography,44
11708,Sanya Singh,9,Science,48
11709,Devansh Menon,9,Geography,55
11710,Kavya Malhotra,10,History,52
11711,Kabir Thakur,9,Math,52
11712,Pallavi Krishnan,9,Computer Science,61
11713,Arjun Shah,10,History,54
11714,Nisha Pillai,9,English,39
11715,Sanya Trivedi,12,Computer Science,72
11716,Rajesh Choudhary,10,Computer Science,79
11717,Ishita Kaur,10,Geography,55
11718,Pooja Verma,12,English,70
11719,Amit Reddy,10,Math,90
11720,Pallavi Iyer,11,English,80
11721,Pallavi Thakur,9,Science,84
11722,Kabir Singh,11,Computer Science,71
11723,Ishita Thakur,10,History,55
11724,Tanya Malhotra,12,History,84
11725,Ananya Nair,12,Computer Science,96
11726,Sanya Iyer,12,English,91
11727,Gaurav Rao,11,English,77
11728,Ishita Bose,10,English,56
11729,Meera Patel,12,English,53
11730,Manav Verma,12,Geography,41
11731,Sanya Joshi,10,History,45
11732,Sameer Thakur,12,Math,59
11733,Riya Kaur,12,Science,43
11734,Priya Malhotra,9,Math,79
11735,Sanya Kaur,11,Science,82
11736,Devansh Kumar,9,Math,75
11737,Yash Trivedi,10,English,35
11738,Arjun Patel,9,Computer Science,68
11739,Aryan Thakur,12,Geography,42
11740,Vivek Malhotra,9,Geography,100
11741,Siddharth Gupta,11,English,99
11742,Nisha Malhotra,11,English,68
11743,Rajesh Pillai,11,Geography,92
11744,Shreya Menon,12,English,52
11745,Divya Choudhary,11,Science,42
11746,Aditya Desai,12,Geography,56
11747,Neha Gupta,12,Geography,67
11748,Gaurav Kapoor,11,Math,92
11749,Vivek Kaur,12,History,58
11750,Pooja Singh,9,Geography,48
11751,Kabir Chauhan,9,Geography,86
11752,Simran Chauhan,11,English,48
11753,Priya Kaur,10,Computer Science,55
11754,Riya Malhotra,12,Math,54
11755,Dhruv Gupta,10,Science,91
11756,Priya Rao,9,Computer Science,53
11757,Sameer Trivedi,11,Geography,84
11758,Kavya Gupta,9,Geography,97
11759,Divya Pillai,9,English,61
11760,Devansh Shah,10,History,44
11761,Nisha Krishnan,9,Math,71
11762,Aditya Trivedi,12,English,48
11763,Sameer Kapoor,10,Computer Science,71
11764,Sneha Krishnan,9,Science,89
11765,Amit Gupta,9,History,63
11766,Rohan Agarwal,11,Math,44
11767,Arjun Pillai,9,Science,39
11768,Siddharth Agarwal,12,Math,93
11769,Priya Chauhan,11,History,93
11770,Gaurav Shah,12,History,64
11771,Neha Desai,9,History,53
11772,Simran Patel,10,History,74
11773,Aarohi Kumar,9,Math,40
11774,Rahul Reddy,12,History,72
11775,Karan Rao,12,Math,43
11776,Sara Desai,10,English,85
11777,Sanya Choudhary,9,Geography,36
11778,Sanya Mehta,9,Geography,78
11779,Siddharth Trivedi,12,Math,35
11780,Amit Shah,9,Math,35
11781,Rohan Bose,10,Science,49
11782,Ishita Agarwal,12,Geography,62
11783,Sameer Shah,11,Math,39
11784,Vikram Kumar,9,Geography,43
11785,Sanya Menon,10,English,49
11786,Aditi Trivedi,12,History,90
11787,Sameer Chauhan,12,Math,40
11788,Vikram Verma,11,Math,45
11789,Yuvraj Singh,10,Geography,54
11790,Rohan Patel,9,Geography,83
11791,Tanya Bose,10,Geography,77
11792,Sara Sharma,12,Math,90
11793,Simran Kulkarni,9,Math,97
11794,Rahul Kaur,10,English,67
11795,Aditya Trivedi,12,English,76
11796,Meera Nair,11,Computer Science,55
11797,Arjun Kaur,10,English,68
11798,Vivek Shah,11,Computer Science,94
11799,Divya Nambiar,11,Math,56
11800,Riya Kulkarni,11,Computer Science,52
11801,Aarohi Desai,10,English,57
11802,Nisha Mehta,12,Computer Science,76
11803,Riya Chauhan,12,History,50
11804,Kavya Kulkarni,9,Science,37
11805,Nikhil Iyer,10,Geography,51
11806,Aditi Singh,9,Geography,88
11807,Simran Malhotra,12,English,74
11808,Vivek Saxena,10,Science,100
11809,Amit Bhat,9,History,59
11810,Sameer Shah,9,English,90
11811,Nisha Shah,12,History,85
11812,Simran Bose,12,Science,83
11813,Meera Sharma,10,Computer Science,90
11814,Aditya Kaur,9,Computer Science,40
11815,Tanya Trivedi,12,Math,88
11816,Aditya Thakur,11,English,76
11817,Sara Kaur,11,Computer Science,73
11818,Aarohi Patel,12,History,50
11819,Siddharth Agarwal,12,Math,79
11820,Kavya Joshi,10,History,99
11821,Gaurav Desai,10,Geography,94
11822,Aryan Kulkarni,10,History,83
11823,Yuvraj Gupta,11,Computer Science,72
11824,Ananya Kapoor,11,Geography,72
11825,Yuvraj Agarwal,11,English,70
11826,Karan Desai,9,Computer Science,38
11827,Rohan Sharma,9,English,64
11828,Sanya Malhotra,11,Geography,72
11829,Divya Saxena,10,Geography,57
11830,Aryan Kulkarni,10,English,77
11831,Siddharth Desai,11,History,88
11832,Sara Trivedi,10,Science,88
11833,Manav Bose,12,Computer Science,82
11834,Aditya Nambiar,10,Computer Science,35
11835,Nisha Thakur,9,Math,60
11836,Nisha Trivedi,12,Computer Science,85
11837,Sneha Trivedi,9,English,93
11838,Neha Rao,9,English,46
11839,Vikram Kumar,9,English,48
11840,Sanya Thakur,10,Science,43
11841,Divya Singh,11,Science,44
11842,Vikram Patel,12,Computer Science,86
11843,Kabir Shah,9,History,60
11844,Pallavi Pillai,11,Math,82
11845,Simran Thakur,10,Math,82
11846,Sneha Shah,9,Math,38
11847,Gaurav Kaur,11,English,63
11848,Aditi Shah,10,History,97
11849,Nisha Kulkarni,9,Computer Science,83
11850,Kabir Reddy,11,Science,92
11851,Aarohi Sharma,10,Geography,36
11852,Vivek Nair,12,Science,56
11853,Nikhil Trivedi,12,History,63
11854,Priya Iyer,11,Science,45
11855,Karan Pillai,11,Science,99
11856,Neha Iyer,11,Math,69
11857,Devansh Malhotra,11,Science,63
11858,Rahul Trivedi,12,Computer Science,67
11859,Sanya Saxena,9,English,60
11860,Sara Choudhary,10,Computer Science,99
11861,Sneha Malhotra,12,English,52
11862,Anjali Choudhary,11,English,41
11863,Divya Bhat,11,Computer Science,95
11864,Tanya Singh,11,History,78
11865,Ananya Trivedi,12,Science,74
11866,Kabir Thakur,12,Geography,57
11867,Devansh Kumar,11,English,79
11868,Riya Rao,11,Science,50
11869,Rahul Rao,9,English,86
11870,Vikram Mehta,12,History,76
11871,Yash Patel,10,Geography,39
11872,Divya Pillai,12,History,51
11873,Yuvraj Nambiar,10,Science,65
11874,Shreya Gupta,10,Computer Science,36
11875,Meera Choudhary,10,Computer Science,79
11876,Divya Desai,11,Computer Science,58
11877,Manav Reddy,10,History,97
11878,Aryan Mehta,10,English,55
11879,Aditya Patel,12,Math,50
11880,Nisha Mehta,9,Math,91
11881,Divya Mehta,12,Science,61
11882,Manav Bhat,10,History,53
11883,Riya Thakur,10,Math,78
11884,Arjun Gupta,12,Geography,74
11885,Aditya Singh,12,Geography,95
11886,Sneha Pillai,9,Science,76
11887,Pallavi Desai,11,Computer Science,100
11888,Gaurav Iyer,9,English,70
11889,Anjali Saxena,10,English,90
11890,Ishita Choudhary,12,Science,89
11891,Yash Desai,10,Math,90
11892,Arjun Bose,10,Math,53
11893,Rajesh Malhotra,12,Geography,72
11894,Rohan Krishnan,12,History,77
11895,Priya Gupta,10,History,91
11896,Ananya Shah,12,Computer Science,80
11897,Meera Thakur,12,History,48
11898,Ananya Choudhary,11,Computer Science,85
11899,Vivek Gupta,11,English,45
11900,Aarohi Verma,10,Science,47
11901,Arjun Iyer,11,History,75
11902,Aditya Rao,10,History,51
11903,Priya Chauhan,9,History,36
11904,Siddharth Bose,12,Science,56
11905,Nisha Krishnan,11,Computer Science,50
11906,Rajesh Gupta,10,Science,46
11907,Yuvraj Thakur,11,History,46
11908,Kavya Agarwal,9,History,65
11909,Sameer Chauhan,12,Math,72
11910,Sara Verma,11,English,74
11911,Kavya Rao,9,History,72
11912,Kabir Thakur,12,Computer Science,97
11913,Neha Kumar,11,Math,72
11914,Aarohi Thakur,11,Math,99
11915,Aryan Mehta,12,Science,60
11916,Devansh Saxena,11,Science,66
11917,Yuvraj Desai,9,English,93
11918,Divya Pillai,12,History,42
11919,Dhruv Shah,10,English,37
11920,Dhruv Choudhary,12,History,89
11921,Meera Kumar,12,Geography,80
11922,Rahul Chauhan,11,Computer Science,53
11923,Yuvraj Iyer,9,History,100
11924,Sameer Malhotra,11,English,61
11925,Ananya Reddy,11,History,69
11926,Priya Sharma,11,Math,58
11927,Yash Rao,11,Science,90
11928,Vivek Verma,10,English,84
11929,Karan Rao,9,Math,54
11930,Aditi Saxena,12,Math,84
11931,Aryan Chauhan,9,Geography,62
11932,Gaurav Sharma,10,History,45
11933,Shreya Mehta,10,Geography,48
11934,Sameer Bhat,12,Geography,51
11935,Priya Malhotra,11,Math,47
11936,Vivek Iyer,12,Computer Science,81
11937,Dhruv Malhotra,9,Math,100
11938,Meera Chauhan,12,Computer Science,91
11939,Pooja Choudhary,10,Science,87
11940,Ananya Verma,9,English,51
11941,Vivek Nambiar,10,Science,100
11942,Priya Kumar,12,History,78
11943,Arjun Kapoor,12,Science,44
11944,Aryan Iyer,12,English,66
11945,Vikram Singh,11,Science,97
11946,Yuvraj Trivedi,10,English,78
11947,Sameer Singh,12,History,82
11948,Sneha Iyer,10,English,90
11949,Yuvraj Sharma,11,Math,84
11950,Aryan Nambiar,9,History,56
11951,Neha Mehta,11,English,59
11952,Aarohi Nair,9,Computer Science,59
11953,Riya Mehta,10,English,38
11954,Kavya Desai,11,History,36
11955,Neha Verma,12,Computer Science,99
11956,Simran Gupta,12,English,72
11957,Yuvraj Agarwal,11,English,67
11958,Anjali Kulkarni,9,Geography,97
11959,Aryan Nambiar,10,Math,51
11960,Kabir Saxena,11,Geography,97
11961,Neha Joshi,9,English,42
11962,Aryan Bose,9,English,43
11963,Aryan Verma,12,English,41
11964,Anjali Agarwal,12,English,88
11965,Sameer Menon,12,Computer Science,63
11966,Anjali Kapoor,11,English,96
11967,Amit Iyer,10,English,46
11968,Ishita Gupta,10,Computer Science,66
